SiteID,Lat,Lon
1579,51.8015,-176.74863
1580,51.79453,-176.78412
1582,58.95227,-152.142874
1583,59.481416,-151.561716
1585,59.48575,-151.6450333
1586,60.10195,-152.597829
1587,60.108167,-152.581657
1587,60.110787,-152.585505
1588,59.53958333,-151.4712833
1589,59.56788333,-151.3482833
1589,59.568465165,-151.33985315
159,58.38111667,-134.6924333
1590,59.571184,-151.312972
1592,59.566985,-151.2958
1593,59.552001,-151.368342
1595,59.42298333,-151.8735333
1596,53.8693595,-166.55470525
160,58.627958335,-134.94389999999999
1600,53.857313,-166.557924
1601,53.9105935,-166.5074875
1603,53.899442,-166.514485
1604,53.88404,-166.549998
1605,53.878147,-166.538476
1606,53.828601,-166.601955
1607,58.91758,-152.006455
1608,59.52883333,-151.4408833
1609,60.164812,-152.678287
1610,59.65531667,-151.1906167
1611,58.46620370666667,-135.9911111
1611,58.46555556,-135.99
1612,58.4525,-136.0875
1613,58.57944444333333,-136.2040741
1613,58.57833333,-136.2077778
1614,58.66416667,-136.3
1615,58.60166667,-135.8733333
1616,58.6425,-135.9216667
1617,58.69888889,-135.9741667
1618,58.78583333,-136.0516667
1619,58.59,-136.4833333
162,55.23638889,-131.75
1620,58.59166667,-136.5133333
1621,58.6075,-136.52
1622,58.95444444,-136.1016667
1623,59.03981481666667,-136.1558333
1623,59.04166667,-136.1608333
1624,59.07055556,-136.1908333
1625,58.8625,-136.11
1626,58.8275,-136.4555556
1627,58.9625,-136.5616667
1628,58.98916667,-136.7033333
1629,58.87944444,-136.5066667
163,55.23416667,-131.73
1630,58.87166667,-136.8066667
1630,58.869833335,-136.81333335
1631,58.85583333,-136.8041667
1632,58.84611111,-136.8088889
1633,58.88666667,-136.8933333
1634,58.96166667,-136.86
1635,58.50611111,-136.0233333
1636,58.34333333,-136.1366667
1637,58.269507,-135.8322
1638,58.3558,-135.7126
1639,58.8539,-136.819
164,55.22,-131.7361111
1641,58.41266667,-136.5014333
1642,58.443325,-136.5222
1644,58.37591667,-136.51275
1645,58.38053333,-136.4138833
1646,58.36898333,-136.3986667
1647,58.28,-136.6783333
1648,58.27166667,-136.6808333
165,55.20777778,-131.7277778
1650,58.65523333,-137.5611167
1651,58.645466665,-137.51091665
1653,58.63405,-137.5427167
1654,58.62398333,-137.6746167
1655,58.61166667,-137.65035
1656,58.64835,-137.6066
1657,58.63805,-137.591
1658,58.86988333,-136.8029167
1659,58.86931667,-136.8026833
166,56.65248333,-133.9569167
1660,58.88673333,-136.8894667
1661,58.9257,-136.9863667
1662,58.85461667,-136.8217
1663,58.85466667,-136.82175
1664,58.851608334999995,-136.80284165
1666,58.85491667,-136.8050333
1667,58.85586667,-136.80575
1668,58.85530833,-136.8051917
167,56.716,-133.9523167
1671,58.46618333,-135.9921667
1672,58.47683333,-135.9961
1673,58.50648333,-136.0249667
1674,58.85878333,-136.1092667
1675,58.84138333,-136.1139333
1676,58.4675,-135.9033333
1678,58.47486111,-135.99583335
168,56.5175,-133.09638885
1681,58.5,-135.8975
1682,58.50777778,-135.93
1683,58.56166667,-135.8933333
1684,58.57,-135.9216667
1685,58.62666667,-135.9116667
1686,58.64388889,-136.3755556
1687,59.02,-136.1233333
1689,58.95277778,-136.3533333
1690,58.9875,-136.4183333
1691,58.83916667,-136.1158333
1692,58.81666667,-136.0883333
1693,58.9425,-136.575
1694,59.00916667,-136.715
1695,58.85222222,-136.4975
1697,59.00111111,-136.9408333
1698,58.77333333,-136.5616667
1699,58.82,-136.6516667
17,58.77778333,-135.0078
170,56.51361111,-133.12388885000001
1700,58.43416667,-136.065
1701,58.38,-136.0433333
1702,58.38083333,-135.9191667
1703,58.37166667,-136.04
1705,58.18583333,-135.9833333
1706,60.150054,-152.633311
1707,60.150054,-152.633311
1708,59.64031667,-151.2064167
171,57.12444444,-133.2052778
1710,59.60691667,-151.1881167
1711,59.505456,-151.511535
1713,59.59235,-151.1597333
1714,59.539985,-150.34395999999998
1714,59.54373,-150.33971
1716,59.72018,-149.95203
1717,59.937,-149.67613
1718,59.85774,-149.74754
1719,59.85888,-149.65848
172,57.11444444,-133.205
1720,59.76231,-150.02202
1721,59.77547,-149.94507
1722,59.87975,-149.73885
1723,59.53693,-150.34883
1724,59.69632,-149.73967
1725,59.48122,-135.36292
